activity,timeStamp,x,y,x
Upstairs,1.576565479084e+12,0.020593261,0.9198639,0.020593261
Upstairs,1.576565479149e+12,-0.08924103,1.0404861,-0.08924103
Upstairs,1.576565479154e+12,-0.08924103,1.0404861,-0.08924103
Upstairs,1.576565479185e+12,-0.07060852,1.0954025,-0.07060852
Upstairs,1.576565479218e+12,0.07649231,1.1601273,0.07649231
Upstairs,1.576565479303e+12,0.019613648,1.3013427,0.019613648
Upstairs,1.576565479379e+12,-0.024516296,1.114035,-0.024516296
Upstairs,1.576565479501e+12,0.15984802,1.0365632,0.15984802
Upstairs,1.576565479535e+12,0.15494537,0.9512451,0.15494537
Upstairs,1.576565479618e+12,0.018632507,0.85710144,0.018632507
Upstairs,1.576565479734e+12,0.07551117,0.779628,0.07551117
Upstairs,1.576565479838e+12,-0.038246155,0.9139801,-0.038246155
Upstairs,1.576565479916e+12,0.037265014,1.0365632,0.037265014
Upstairs,1.576565480099e+12,-0.013729858,0.9473221,-0.013729858
Upstairs,1.576565480116e+12,-0.078453064,0.9012314,-0.078453064
Upstairs,1.576565480268e+12,0.04020691,0.9149612,0.04020691
Upstairs,1.576565480293e+12,-0.011767578,0.94045717,-0.011767578
Upstairs,1.576565480432e+12,-0.020593261,1.1718948,-0.020593261
Upstairs,1.576565480584e+12,-0.006864929,1.0483307,-0.006864929
Downstairs,1.576566461578e+12,-0.29517975,-0.36284637,-0.29517975
Downstairs,1.576566461616e+12,-0.2471283,-0.34323272,-0.2471283
Downstairs,1.576566461735e+12,-0.27066344,-0.26477966,-0.27066344
Downstairs,1.576566461873e+12,-0.3608841,-0.12748718,-0.3608841
Downstairs,1.576566461936e+12,-0.24810791,-0.006864929,-0.24810791
Downstairs,1.576566462311e+12,-0.89730835,0.099047855,-0.89730835
Downstairs,1.57656646257e+12,-0.42364654,0.014709473,-0.42364654
Downstairs,1.57656646265e+12,-0.3020447,0.062762454,-0.3020447
Downstairs,1.576566462727e+12,-0.38736266,0.13827363,-0.38736266
Downstairs,1.576566463064e+12,-0.42756957,0.58741915,-0.42756957
Downstairs,1.576566463184e+12,-0.73844147,0.48739013,-0.73844147
Downstairs,1.576566463699e+12,-0.68646544,0.50798494,-0.68646544
Downstairs,1.576566463898e+12,-0.534462,0.6070312,-0.534462
Downstairs,1.576566463938e+12,-0.8737732,0.50112,-0.8737732
Downstairs,1.576566464114e+12,-0.742363,0.6050705,-0.742363
Downstairs,1.576566464313e+12,-0.9022125,0.24614716,-0.9022125
Downstairs,1.576566464411e+12,-0.6433166,0.18828735,-0.6433166
Downstairs,1.576566464828e+12,-0.571727,0.2667404,-0.571727
Downstairs,1.576566464948e+12,-0.5138687,0.20594025,-0.5138687
Downstairs,1.576566465284e+12,-0.5972244,0.26772156,-0.5972244
Downstairs,1.576566465304e+12,-0.70215607,0.19711304,-0.70215607
Downstairs,1.576566465383e+12,-0.7766861,0.1470993,-0.7766861
Downstairs,1.576566465624e+12,-1.2415222,0.70215607,-1.2415222
Downstairs,1.576566465683e+12,-1.0610794,0.378537,-1.0610794
Downstairs,1.576566465782e+12,-0.3883438,0.07551117,-0.3883438
Downstairs,1.576566465821e+12,-0.23830108,0.35402068,-0.23830108
Downstairs,1.576566465898e+12,-0.906134,0.6393936,-0.906134
Downstairs,1.576566466096e+12,-0.90025026,1.5131668,-0.90025026
Downstairs,1.576566466138e+12,-0.69136965,1.1630691,-0.69136965
Downstairs,1.576566466215e+12,-0.29125825,0.4059952,-0.29125825
Downstairs,1.576566466493e+12,-0.698233,1.4190216,-0.698233
Downstairs,1.576566466642e+12,-0.21280365,0.51877135,-0.21280365
Downstairs,1.576566466652e+12,-0.14611968,0.709021,-0.14611968
