activity,timeStamp,x,y,z,,,
Walking,1.58E+12,0.24908905,1.3748932,0.45404816,21,,
Walking,1.58E+12,0.415802,1.243483,0.52171326,39,,
Walking,1.58E+12,0.3520584,1.369989,0.22261047,19,,
Walking,1.58E+12,0.23830108,1.5484695,-0.33538818,20,,
Walking,1.58E+12,0.081394956,1.4504029,-0.5364243,24,,
Walking,1.58E+12,-0.11865997,0.7747253,-0.23634033,35,,
Walking,1.58E+12,-0.17553863,0.7511902,-0.207901,20,,
Walking,1.58E+12,-0.26183778,1.0914795,-0.17161712,39,,
Walking,1.58E+12,-0.14121552,0.9747818,-0.07747193,20,,
Walking,1.58E+12,0.016671753,0.794339,0.018632507,20,,
Walking,1.58E+12,0.117680356,0.6364517,0.04903259,20,,
Walking,1.58E+12,0.12356415,0.58839875,-0.030400086,20,,
Walking,1.58E+12,0.02942047,0.84042966,-0.050994873,39,,
Walking,1.58E+12,0.002941895,0.8855408,-0.003923035,20,,
Walking,1.58E+12,0.071588136,0.8718109,-0.008825684,20,,
Walking,1.58E+12,0.044129945,0.92084503,0.0460907,43,,
Walking,1.58E+12,-0.060801696,0.9688965,0.07453003,18,,
Walking,1.58E+12,-0.13925476,1.1150162,0.06864624,38,,
Walking,1.58E+12,-0.15102234,1.1503204,0.09610443,20,,
Walking,1.58E+12,-0.5472107,1.1983734,0.10689239,39,,
Walking,1.58E+12,-0.5805542,1.2876129,0.08629914,21,,
Walking,1.58E+12,-0.44424134,1.3238983,0.001960754,42,,
Walking,1.58E+12,-0.2843933,1.202295,-0.10493164,9,,
Walking,1.58E+12,0.003923035,1.2738845,-0.0460907,27,,
Walking,1.58E+12,0.19417115,1.4190216,-0.117680356,20,,
Walking,1.58E+12,0.44522247,1.4396164,-0.33146515,39,,
Walking,1.58E+12,0.4609131,1.3631241,-0.25987548,20,,
Walking,1.58E+12,0.32460022,1.2562317,-0.19024964,21,,
Walking,1.58E+12,0.13631287,0.9512451,-0.07453003,40,,
Walking,1.58E+12,0.08335724,0.82277834,-0.056878664,18,,
Walking,1.58E+12,-0.005883789,0.71588594,-0.07747193,21,,
Walking,1.58E+12,-0.08924103,0.5226944,-0.10493164,39,,
Walking,1.58E+12,-0.024516296,0.4422806,-0.08825989,20,,
Walking,1.58E+12,0.0460907,0.5021011,0.14317779,39,,
Walking,1.58E+12,0.013729858,0.5893799,0.28733522,20,,
Walking,1.58E+12,-0.026478577,0.70215607,0.38049775,20,,
Walking,1.58E+12,-0.032362364,0.82964325,0.4609131,19,,
Walking,1.58E+12,0.24320526,1.1709137,0.52171326,41,,
Walking,1.58E+12,0.2687027,1.3386078,0.42953187,23,,
Walking,1.58E+12,0.33440703,1.2679993,0.45110625,35,,
Walking,1.58E+12,0.48641053,1.2336762,0.55799866,20,,
Walking,1.58E+12,0.55505675,1.3572403,0.47268066,20,,
Walking,1.58E+12,0.4432602,1.5906388,0.09806671,20,,
Walking,1.58E+12,0.07747193,1.5759293,-0.36774904,21,,
Walking,1.58E+12,-0.09708557,0.7354981,-0.34029084,39,,
Walking,1.58E+12,-0.18044281,0.65606534,-0.42855072,19,,
Walking,1.58E+12,-0.10885315,0.94045717,-0.34715575,20,,
Walking,1.58E+12,-0.02942047,1.1071701,-0.016671753,39,,
Walking,1.58E+12,0.055897523,0.9080963,0.05393677,20,,
Walking,1.58E+12,0.07060852,0.742363,0.094143674,20,,
Walking,1.58E+12,0.044129945,0.6697937,0.024516296,20,,
Walking,1.58E+12,0.020593261,0.6884262,-0.090220645,20,,
Walking,1.58E+12,0.024516296,0.7845322,-0.099047855,20,,
Walking,1.58E+12,0.044129945,0.88455963,0.023536682,39,,
Walking,1.58E+12,0.12454376,0.831604,0.022555541,19,,
