activity,timeStamp,x,y,z,,,
Standing,1.58E+12,0.011767578,0.02942047,-0.98066556,14,,
Standing,1.58E+12,0.011767578,0.02942047,-0.98066556,4,,
Standing,1.58E+12,0.009806824,0.030400086,-0.9777237,18,,
Standing,1.58E+12,0.009806824,0.030400086,-0.9777237,5,,
Standing,1.58E+12,0.013729858,0.031381227,-0.9777237,34,,
Standing,1.58E+12,0.013729858,0.031381227,-0.9777237,6,,
Standing,1.58E+12,0.012748718,0.032362364,-0.9796845,16,,
Standing,1.58E+12,0.012748718,0.032362364,-0.9796845,7,,
Standing,1.58E+12,0.013729858,0.032362364,-0.9816452,30,,
Standing,1.58E+12,0.013729858,0.032362364,-0.9816452,9,,
Standing,1.58E+12,0.010787964,0.031381227,-0.9826263,12,,
Standing,1.58E+12,0.010787964,0.031381227,-0.9826263,8,,
Standing,1.58E+12,0.011767578,0.032362364,-0.97674257,31,,
Standing,1.58E+12,0.011767578,0.032362364,-0.97674257,7,,
Standing,1.58E+12,0.013729858,0.030400086,-0.9747818,12,,
Standing,1.58E+12,0.013729858,0.030400086,-0.9747818,8,,
Standing,1.58E+12,0.010787964,0.031381227,-0.97380066,12,,
Standing,1.58E+12,0.010787964,0.031381227,-0.97380066,4,,
Standing,1.58E+12,0.013729858,0.031381227,-0.9777237,15,,
Standing,1.58E+12,0.013729858,0.031381227,-0.9777237,5,,
Standing,1.58E+12,0.010787964,0.02942047,-0.97380066,16,,
Standing,1.58E+12,0.010787964,0.02942047,-0.97380066,6,,
Standing,1.58E+12,0.011767578,0.030400086,-0.9787033,32,,
Standing,1.58E+12,0.011767578,0.030400086,-0.9787033,7,,
Standing,1.58E+12,0.012748718,0.031381227,-0.9796845,7,,
Standing,1.58E+12,0.012748718,0.031381227,-0.9796845,8,,
Standing,1.58E+12,0.012748718,0.030400086,-0.98066556,9,,
Standing,1.58E+12,0.012748718,0.030400086,-0.98066556,7,,
Standing,1.58E+12,0.014709473,0.03432312,-0.9777237,23,,
Standing,1.58E+12,0.014709473,0.03432312,-0.9777237,4,,
Standing,1.58E+12,0.014709473,0.02942047,-0.9796845,16,,
Standing,1.58E+12,0.014709473,0.02942047,-0.9796845,4,,
Standing,1.58E+12,0.008825684,0.02942047,-0.9728195,36,,
Standing,1.58E+12,0.008825684,0.02942047,-0.9728195,8,,
Standing,1.58E+12,0.008825684,0.02745819,-0.9787033,11,,
Standing,1.58E+12,0.008825684,0.02745819,-0.9787033,14,,
Standing,1.58E+12,0.010787964,0.026478577,-0.97674257,26,,
Standing,1.58E+12,0.010787964,0.026478577,-0.97674257,8,,
Standing,1.58E+12,0.010787964,0.030400086,-0.97674257,11,,
Standing,1.58E+12,0.010787964,0.030400086,-0.97674257,9,,
Standing,1.58E+12,0.010787964,0.03432312,-0.9787033,12,,
Standing,1.58E+12,0.010787964,0.03432312,-0.9787033,5,,
Standing,1.58E+12,0.010787964,0.03530426,-0.98066556,33,,
Standing,1.58E+12,0.010787964,0.03530426,-0.98066556,8,,
Standing,1.58E+12,0.013729858,0.031381227,-0.9777237,13,,
Standing,1.58E+12,0.013729858,0.031381227,-0.9777237,4,,
Standing,1.58E+12,0.011767578,0.02942047,-0.97674257,16,,
Standing,1.58E+12,0.011767578,0.02942047,-0.97674257,8,,
Standing,1.58E+12,0.008825684,0.031381227,-0.9777237,30,,
Standing,1.58E+12,0.008825684,0.031381227,-0.9777237,9,,
Standing,1.58E+12,0.008825684,0.030400086,-0.9747818,12,,
Standing,1.58E+12,0.008825684,0.030400086,-0.9747818,7,,
Standing,1.58E+12,0.010787964,0.030400086,-0.9777237,33,,
Standing,1.58E+12,0.010787964,0.030400086,-0.9777237,4,,
Standing,1.58E+12,0.011767578,0.032362364,-0.97674257,14,,
Standing,1.58E+12,0.011767578,0.032362364,-0.97674257,10,,
Standing,1.58E+12,0.009806824,0.031381227,-0.97674257,13,,
Standing,1.58E+12,0.009806824,0.031381227,-0.97674257,6,,
Standing,1.58E+12,0.011767578,0.032362364,-0.9787033,32,,
Standing,1.58E+12,0.011767578,0.032362364,-0.9787033,8,,
Standing,1.58E+12,0.011767578,0.03432312,-0.9777237,11,,
Standing,1.58E+12,0.011767578,0.03432312,-0.9777237,8,,
Standing,1.58E+12,0.010787964,0.03432312,-0.9816452,11,,
Standing,1.58E+12,0.010787964,0.03432312,-0.9816452,9,,
Standing,1.58E+12,0.008825684,0.031381227,-0.9787033,12,,
Standing,1.58E+12,0.008825684,0.031381227,-0.9787033,10,,
Standing,1.58E+12,0.00784607,0.032362364,-0.9796845,30,,
Standing,1.58E+12,0.00784607,0.032362364,-0.9796845,7,,
Standing,1.58E+12,0.006864929,0.03530426,-0.98066556,12,,
Standing,1.58E+12,0.006864929,0.03530426,-0.98066556,4,,
Standing,1.58E+12,0.010787964,0.032362364,-0.98066556,36,,
Standing,1.58E+12,0.010787964,0.032362364,-0.98066556,7,,
Standing,1.58E+12,0.012748718,0.028439332,-0.9757614,13,,
Standing,1.58E+12,0.012748718,0.028439332,-0.9757614,7,,
Standing,1.58E+12,0.010787964,0.026478577,-0.9777237,33,,
Standing,1.58E+12,0.010787964,0.026478577,-0.9777237,4,,
Standing,1.58E+12,0.014709473,0.028439332,-0.9796845,16,,
Standing,1.58E+12,0.014709473,0.028439332,-0.9796845,4,,
Standing,1.58E+12,0.008825684,0.02745819,-0.98066556,34,,
Standing,1.58E+12,0.008825684,0.02745819,-0.98066556,5,,
Standing,1.58E+12,0.009806824,0.030400086,-0.9796845,15,,
Standing,1.58E+12,0.009806824,0.030400086,-0.9796845,11,,
Standing,1.58E+12,0.009806824,0.03334198,-0.9787033,18,,
Standing,1.58E+12,0.009806824,0.03334198,-0.9787033,6,,
Standing,1.58E+12,0.008825684,0.031381227,-0.9777237,25,,
Standing,1.58E+12,0.008825684,0.031381227,-0.9777237,7,,
Standing,1.58E+12,0.008825684,0.02745819,-0.9777237,10,,
Standing,1.58E+12,0.008825684,0.02745819,-0.9777237,7,,
Standing,1.58E+12,0.00784607,0.030400086,-0.9826263,16,,
Standing,1.58E+12,0.00784607,0.030400086,-0.9826263,6,,
Standing,1.58E+12,0.009806824,0.02942047,-0.98066556,13,,
Standing,1.58E+12,0.009806824,0.02942047,-0.98066556,5,,
Standing,1.58E+12,0.009806824,0.028439332,-0.9826263,35,,
Standing,1.58E+12,0.009806824,0.028439332,-0.9826263,7,,
Standing,1.58E+12,0.008825684,0.031381227,-0.98066556,15,,
Standing,1.58E+12,0.008825684,0.031381227,-0.98066556,5,,
Standing,1.58E+12,0.009806824,0.031381227,-0.98066556,13,,
Standing,1.58E+12,0.009806824,0.031381227,-0.98066556,5,,
Standing,1.58E+12,0.00784607,0.030400086,-0.9796845,11,,
Standing,1.58E+12,0.00784607,0.030400086,-0.9796845,4,,
Standing,1.58E+12,0.00784607,0.030400086,-0.98066556,19,,
Standing,1.58E+12,0.00784607,0.030400086,-0.98066556,5,,
Standing,1.58E+12,0.00784607,0.026478577,-0.9757614,16,,
Standing,1.58E+12,0.00784607,0.026478577,-0.9757614,7,,
Standing,1.58E+12,0.010787964,0.030400086,-0.97674257,32,,
Standing,1.58E+12,0.010787964,0.030400086,-0.97674257,4,,
Standing,1.58E+12,0.011767578,0.030400086,-0.97674257,15,,
Standing,1.58E+12,0.011767578,0.030400086,-0.97674257,4,,
Standing,1.58E+12,0.008825684,0.031381227,-0.9777237,16,,
Standing,1.58E+12,0.008825684,0.031381227,-0.9777237,4,,
Standing,1.58E+12,0.008825684,0.02745819,-0.9728195,36,,
Standing,1.58E+12,0.008825684,0.02745819,-0.9728195,6,,
Standing,1.58E+12,0.011767578,0.030400086,-0.97380066,12,,
Standing,1.58E+12,0.011767578,0.030400086,-0.97380066,6,,
Standing,1.58E+12,0.008825684,0.028439332,-0.9747818,19,,
Standing,1.58E+12,0.008825684,0.028439332,-0.9747818,5,,
Standing,1.58E+12,0.010787964,0.031381227,-0.9777237,31,,
Standing,1.58E+12,0.010787964,0.031381227,-0.9777237,4,,
Standing,1.58E+12,0.010787964,0.02942047,-0.97380066,15,,
Standing,1.58E+12,0.010787964,0.02942047,-0.97380066,8,,
Standing,1.58E+12,0.010787964,0.03432312,-0.9747818,16,,
Standing,1.58E+12,0.010787964,0.03432312,-0.9747818,10,,
Standing,1.58E+12,0.010787964,0.03334198,-0.9777237,29,,
Standing,1.58E+12,0.010787964,0.03334198,-0.9777237,5,,
Standing,1.58E+12,0.011767578,0.03334198,-0.97674257,12,,
Standing,1.58E+12,0.011767578,0.03334198,-0.97674257,14,,
Standing,1.58E+12,0.005883789,0.02942047,-0.9796845,28,,
Standing,1.58E+12,0.005883789,0.02942047,-0.9796845,4,,
Standing,1.58E+12,0.006864929,0.028439332,-0.9796845,13,,
Standing,1.58E+12,0.006864929,0.028439332,-0.9796845,7,,
Standing,1.58E+12,0.00784607,0.031381227,-0.9796845,12,,
