activity,timeStamp,x,y,z,,,
Downstairs,1.58E+12,-0.20691986,0.61880034,0.35598144,39,5186,
Downstairs,1.58E+12,-0.17455903,0.6707748,0.4766037,12,5198,
Downstairs,1.58E+12,-0.084336855,0.68940735,0.44129944,26,5224,
Downstairs,1.58E+12,0.02745819,0.69921416,0.26477966,9,5233,
Downstairs,1.58E+12,-0.020593261,0.6972534,0.23339844,32,5265,
Downstairs,1.58E+12,0.0460907,0.72863466,0.26085663,15,5280,
Downstairs,1.58E+12,-0.25007018,1.4464813,-0.10296936,25,5305,
Downstairs,1.58E+12,-0.4805252,1.7455841,-0.49131316,19,5324,
Downstairs,1.58E+12,-0.4256088,1.5337601,-0.24320526,21,5345,
Downstairs,1.58E+12,-0.19319153,0.99145204,0.25595397,40,5385,
Downstairs,1.58E+12,-0.14611968,1.1110932,-0.043148804,19,5404,
Downstairs,1.58E+12,-0.3206772,1.488649,0,21,5425,
Downstairs,1.58E+12,-0.39226532,1.4013703,0.1588684,22,5447,
Downstairs,1.58E+12,-0.17553863,0.83356476,0.19613342,38,5485,
Downstairs,1.58E+12,-0.15102234,0.76295775,0.20691986,17,5502,
Downstairs,1.58E+12,-0.13042907,0.60899353,0.3363678,40,5542,
Downstairs,1.58E+12,-0.19711304,0.5266174,0.28243104,20,5562,
Downstairs,1.58E+12,-0.2265335,0.5070038,0.21280365,21,5583,
Downstairs,1.58E+12,-0.1863266,0.49719697,0.15396424,40,0,
Downstairs,1.58E+12,0.10983429,0.83552706,0.51484984,18018,0,0
Downstairs,1.58E+12,0.12748718,0.88455963,0.4932739,6,6,0.006
Downstairs,1.58E+12,0.1470993,1.0591186,0.46875763,32,38,0.038
Downstairs,1.58E+12,0.19711304,1.1208999,0.5354431,20,58,0.058
Downstairs,1.58E+12,0.3020447,1.0375443,0.62762606,40,98,0.098
Downstairs,1.58E+12,0.37167206,1.0277374,0.4981781,19,117,0.117
Downstairs,1.58E+12,0.5226944,1.0748093,0.11179657,42,159,0.159
Downstairs,1.58E+12,0.6472397,1.4239258,-0.32361907,18,177,0.177
Downstairs,1.58E+12,0.43247375,1.4278488,-0.4059952,21,198,0.198
Downstairs,1.58E+12,0.22751465,0.7668808,-0.0794342,38,236,0.236
Downstairs,1.58E+12,0.20495911,0.86788785,-0.14611968,21,257,0.257
Downstairs,1.58E+12,0.08335724,1.1513001,-0.23437957,20,277,0.277
Downstairs,1.58E+12,0.14513855,1.009105,0.047071837,39,316,0.316
Downstairs,1.58E+12,0.18730775,0.8963272,0.09120178,19,335,0.335
Downstairs,1.58E+12,0.087278746,0.8806366,0.0460907,40,375,0.375
Downstairs,1.58E+12,0.05393677,0.92084503,0.059820555,20,395,0.395
Downstairs,1.58E+12,0.059820555,0.88652194,0.18142243,40,435,0.435
Downstairs,1.58E+12,0.013729858,0.8659271,0.20495911,19,454,0.454
Downstairs,1.58E+12,-0.0460907,0.8257202,0.19024964,22,476,0.476
Downstairs,1.58E+12,-0.06374359,0.757074,0.20594025,38,514,0.514
Downstairs,1.58E+12,-0.07649231,0.7580536,0.2530121,6,520,0.52
Downstairs,1.58E+12,0.011767578,0.72569275,0.19613342,34,554,0.554
Downstairs,1.58E+12,0.03530426,0.6629303,0.24026337,19,573,0.573
Downstairs,1.58E+12,-0.045111082,0.7453049,0.12356415,40,613,0.613
Downstairs,1.58E+12,-0.013729858,0.8051254,0.17161712,19,632,0.632
Downstairs,1.58E+12,-0.016671753,0.83650666,0.22359161,21,653,0.653
Downstairs,1.58E+12,0,0.8453339,0.29223785,20,673,0.673
Downstairs,1.58E+12,-0.016671753,0.9051544,0.3216583,20,693,0.693
Downstairs,1.58E+12,-0.03432312,0.96791685,0.36480713,21,714,0.714
Downstairs,1.58E+12,-0.07551117,1.0346024,0.3393097,39,753,0.753
Downstairs,1.58E+12,-0.043148804,1.039505,0.27654725,18,771,0.771
Downstairs,1.58E+12,0.055897523,1.1571853,0.1284668,20,791,0.791
Downstairs,1.58E+12,0.12356415,1.2964386,-0.03530426,19,810,0.81
Downstairs,1.58E+12,0.15200348,1.3945053,-0.0794342,21,831,0.831
Downstairs,1.58E+12,0.49131316,1.7338165,0.17357787,42,873,0.873
Downstairs,1.58E+12,0.52759856,1.5621994,0.1647522,17,890,0.89
Downstairs,1.58E+12,0.4403183,1.2503479,0.17750092,20,910,0.91
Downstairs,1.58E+12,0.32460022,1.0904999,0.24418488,20,930,0.93
Downstairs,1.58E+12,0.17651978,1.1336486,0.27752838,20,950,0.95
Downstairs,1.58E+12,0.06766663,0.9149612,0.19417115,39,989,0.989
Downstairs,1.58E+12,0.06962738,0.71980745,0.15200348,20,1009,1.009
Downstairs,1.58E+12,0.04020691,0.6011475,0.14317779,20,1029,1.029
Downstairs,1.58E+12,0.02942047,0.5530945,0.14317779,21,1050,1.05
Downstairs,1.58E+12,0.08629914,0.54524994,0.15788727,20,1070,1.07
Downstairs,1.58E+12,0.090220645,0.5099457,0.24320526,38,1108,1.108
Downstairs,1.58E+12,0.052955627,0.4824875,0.2853729,20,1128,1.128
Downstairs,1.58E+12,0.043148804,0.4795456,0.30989075,21,1149,1.149
Downstairs,1.58E+12,0.10100861,0.62174225,0.27066344,39,1188,1.188
Downstairs,1.58E+12,0.18436432,0.7217697,0.37363282,19,1207,1.207
Downstairs,1.58E+12,0.30694884,0.80316466,0.46875763,21,1228,1.228
Downstairs,1.58E+12,0.31773528,1.0336212,0.36284637,39,1267,1.267
Downstairs,1.58E+12,0.30400544,0.9855682,0.32263947,19,1286,1.286
Downstairs,1.58E+12,0.28831482,1.1101135,0.27850953,40,1326,1.326
Downstairs,1.58E+12,0.060801696,1.2523086,0.13925476,20,1346,1.346
Downstairs,1.58E+12,-0.16278991,1.496495,-0.23928222,40,1386,1.386
Downstairs,1.58E+12,-0.037265014,1.7230285,0.39520875,19,1405,1.405
Downstairs,1.58E+12,-0.005883789,1.6377106,0.4462021,20,1425,1.425
Downstairs,1.58E+12,0.1588684,1.1836624,0.18730775,21,1446,1.446
Downstairs,1.58E+12,0.17651978,0.90025026,0.026478577,41,1487,1.487
Downstairs,1.58E+12,0.11081543,1.0081238,0.13533172,17,1504,1.504
Downstairs,1.58E+12,0.078453064,1.0228332,0.18240356,21,1525,1.525
Downstairs,1.58E+12,-0.018632507,0.9512451,0.12944794,38,1563,1.563
Downstairs,1.58E+12,0.016671753,0.8933853,0.26379853,20,1583,1.583
Downstairs,1.58E+12,0.045111082,0.7913971,0.3334259,20,1603,1.603
Downstairs,1.58E+12,0.025497437,0.72275084,0.26772156,20,1623,1.623
Downstairs,1.58E+12,0.06472321,0.68646544,0.2539917,39,1662,1.662
Downstairs,1.58E+12,0.081394956,0.6452774,0.28733522,8,1670,1.67
Downstairs,1.58E+12,-0.09512482,0.7404022,0.2324173,33,1703,1.703
Downstairs,1.58E+12,-0.13631287,0.7845322,0.19417115,19,1722,1.722
Downstairs,1.58E+12,-0.15984802,0.8090485,0.24418488,20,1742,1.742
Downstairs,1.58E+12,-0.16377106,0.84337157,0.28635406,39,1781,1.781
Downstairs,1.58E+12,-0.100027464,0.875734,0.29812163,7,1788,1.788
Downstairs,1.58E+12,0.0578598,1.035582,0.23339844,33,1821,1.821
Downstairs,1.58E+12,0.18828735,1.1934693,0.1892685,19,1840,1.84
Downstairs,1.58E+12,0.27654725,1.4052932,0.114738464,40,1880,1.88
Downstairs,1.58E+12,0.4648346,1.543567,0.15788727,20,1900,1.9
Downstairs,1.58E+12,0.46287385,1.5367019,0.28831482,40,1940,1.94
Downstairs,1.58E+12,0.18730775,1.277806,0.30989075,20,1960,1.96
Downstairs,1.58E+12,0.038246155,0.9865494,0.3030258,39,1999,1.999
Downstairs,1.58E+12,0.03530426,0.8747528,0.24810791,20,2019,2.019
Downstairs,1.58E+12,0.11179657,0.6943115,0.20299836,20,2039,2.039
Downstairs,1.58E+12,0.16769409,0.51582944,0.19319153,39,2078,2.078
Downstairs,1.58E+12,0.14513855,0.5472107,0.24320526,20,2098,2.098
Downstairs,1.58E+12,0.121601865,0.57957304,0.2628189,21,2119,2.119
Downstairs,1.58E+12,0.11277618,0.61880034,0.24320526,39,2158,2.158
Downstairs,1.58E+12,0.16181031,0.63449097,0.2628189,19,2177,2.177
Downstairs,1.58E+12,0.25987548,0.65606534,0.2853729,21,2198,2.198
Downstairs,1.58E+12,0.25595397,0.8090485,0.29125825,40,2238,2.238
Downstairs,1.58E+12,0.11571808,0.8953476,0.36284637,18,2256,2.256
Downstairs,1.58E+12,0.058839418,0.8512176,0.38736266,40,2296,2.296
Downstairs,1.58E+12,0.11964111,0.9179031,0.3765747,21,2317,2.317
Downstairs,1.58E+12,0.1470993,1.3278198,0.35990447,39,2356,2.356
Downstairs,1.58E+12,0.036283873,1.3523376,0.058839418,19,2375,2.375
Downstairs,1.58E+12,-0.005883789,1.2817291,-0.003923035,20,2395,2.395
Downstairs,1.58E+12,-0.13435058,1.2827103,0.19024964,20,2415,2.415
Downstairs,1.58E+12,-0.08335724,1.6288849,0.4187439,21,2436,2.436
Downstairs,1.58E+12,-0.050013732,1.19543,0.050013732,39,2475,2.475
Downstairs,1.58E+12,0.1500412,0.94438016,0.001960754,19,2494,2.494
Downstairs,1.58E+12,0.29910278,0.9022125,0.08825989,20,2514,2.514
Downstairs,1.58E+12,0.22163086,0.9845871,0.0794342,20,2534,2.534
Downstairs,1.58E+12,0.14317779,0.9973358,0.062762454,20,2554,2.554
Downstairs,1.58E+12,0.07355042,1.0051819,0.15396424,20,2574,2.574
Downstairs,1.58E+12,-0.056878664,0.8492554,0.23437957,39,2613,2.613
Downstairs,1.58E+12,-0.06178131,0.78747404,0.24810791,20,2633,2.633
Downstairs,1.58E+12,-0.019613648,0.7374603,0.30596772,20,2653,2.653
Downstairs,1.58E+12,-0.020593261,0.71980745,0.38246003,21,2674,2.674
Downstairs,1.58E+12,-0.10885315,0.7345184,0.29616088,38,2712,2.712
Downstairs,1.58E+12,-0.1039505,0.7217697,0.27752838,20,2732,2.732
Downstairs,1.58E+12,-0.07649231,0.71686554,0.21378478,19,2751,2.751
Downstairs,1.58E+12,-0.08924103,0.78355104,0.24516602,40,2791,2.791
Downstairs,1.58E+12,-0.013729858,0.8257202,0.23928222,20,2811,2.811
Downstairs,1.58E+12,0.04216919,0.8884827,0.25497285,20,2831,2.831
Downstairs,1.58E+12,0.13925476,1.2130829,0.16671295,39,2870,2.87
Downstairs,1.58E+12,0.14415741,1.2738845,0.14219666,20,2890,2.89
Downstairs,1.58E+12,0.24222413,1.4455001,0.1833847,20,2910,2.91
Downstairs,1.58E+12,0.5040619,1.6024063,0.2539917,39,2949,2.949
Downstairs,1.58E+12,0.6207611,1.5896575,0.2716446,15,2964,2.964
Downstairs,1.58E+12,0.4648346,1.4415772,0.41187897,25,2989,2.989
Downstairs,1.58E+12,0.25497285,1.1846435,0.42266694,6,2995,2.995
Downstairs,1.58E+12,0.08335724,1.0640213,0.24516602,33,3028,3.028
Downstairs,1.58E+12,0.105911255,0.94045717,0.19024964,20,3048,3.048
Downstairs,1.58E+12,0.18240356,0.6040894,0.27556762,21,3069,3.069
Downstairs,1.58E+12,0.18828735,0.48346862,0.26085663,20,3089,3.089
Downstairs,1.58E+12,0.18240356,0.57957304,0.25104982,39,3128,3.128
Downstairs,1.58E+12,0.17063598,0.6384125,0.3089096,19,3147,3.147
Downstairs,1.58E+12,0.14808044,0.66881406,0.34617463,42,3189,3.189
Downstairs,1.58E+12,0.17946167,0.6746979,0.32950288,19,3208,3.208
Downstairs,1.58E+12,0.24614716,0.6943115,0.29223785,19,3227,3.227
Downstairs,1.58E+12,0.2745865,0.7678604,0.23732147,19,3246,3.246
Downstairs,1.58E+12,0.19024964,0.8982895,0.25595397,21,3267,3.267
Downstairs,1.58E+12,0.11277618,0.9120178,0.415802,39,3306,3.306
Downstairs,1.58E+12,0.12650605,0.85710144,0.38147888,20,3326,3.326
