activity,timeStamp,x,y,z,,,
Walking,1.58E+12,-0.026478577,0.52465516,-0.010787964,20,6213,
Walking,1.58E+12,0.00784607,0.55211484,0.00098114,26,6239,
Walking,1.58E+12,0.06962738,0.68940735,0.20986176,34,6273,
Walking,1.58E+12,0.09512482,0.7972809,0.36284637,20,6293,
Walking,1.58E+12,0.14611968,0.9090759,0.4246277,25,6318,
Walking,1.58E+12,0.18142243,1.1336486,0.46385497,34,6352,
Walking,1.58E+12,0.2628189,1.2307342,0.40893707,19,6371,
Walking,1.58E+12,0.17946167,1.2091599,0.38736266,20,6391,
Walking,1.58E+12,0.19221039,1.0208725,0.5462311,39,6430,
Walking,1.58E+12,0.17750092,1.1101135,0.51877135,20,6450,
Walking,1.58E+12,0.5472107,1.6435944,-0.912999,41,6491,
Walking,1.58E+12,0.16573182,1.3729309,-0.39324647,18,6509,
Walking,1.58E+12,-0.18044281,0.8816177,0.1529831,40,6549,
Walking,1.58E+12,-0.29125825,0.9159409,-0.38638154,20,6569,
Walking,1.58E+12,-0.2745865,1.0600983,-0.47856444,20,6589,
Walking,1.58E+12,-0.06374359,1.0444076,0.00784607,21,6610,
Walking,1.58E+12,0.17553863,0.78355104,0.15200348,38,6648,
Walking,1.58E+12,0.17946167,0.6472397,-0.038246155,20,6668,
Walking,1.58E+12,0.15984802,0.6040894,-0.10100861,20,6688,
Walking,1.58E+12,0.10296936,0.79629976,-0.062762454,39,6727,
Walking,1.58E+12,0.09610443,0.8453339,0.024516296,26,6753,
Walking,1.58E+12,0.037265014,0.8453339,0.050013732,35,6788,
Walking,1.58E+12,-0.002941895,0.94045717,0.0460907,20,6808,
Walking,1.58E+12,0.003923035,1.1110932,0.101989746,42,6850,
Walking,1.58E+12,0.014709473,1.202295,0.16769409,15,6865,
Walking,1.58E+12,-0.13631287,1.2817291,0.21966858,47,6912,
Walking,1.58E+12,-0.31577453,1.3405685,0.21770783,9,6921,
Walking,1.58E+12,-0.35500032,1.3513565,0.1863266,27,6948,
Walking,1.58E+12,-0.30498657,1.3033035,0.014709473,5,6953,
Walking,1.58E+12,-0.13729247,1.0051819,-0.20495911,33,6986,
Walking,1.58E+12,-0.07453003,1.1316879,-0.03334198,18,7004,
Walking,1.58E+12,-0.065704346,1.3611634,-0.17848054,36,7040,
Walking,1.58E+12,0.3706909,1.4043121,-0.39030457,25,7065,
Walking,1.58E+12,0.4069763,1.2719223,-0.3118515,19,7084,
Walking,1.58E+12,0.19122925,1.0767701,-0.09610443,42,7126,
Walking,1.58E+12,0.017651368,0.9728195,0.010787964,16,7142,
Walking,1.58E+12,-0.06766663,0.84239197,0.07453003,25,7167,
Walking,1.58E+12,-0.11081543,0.65998685,0.04020691,40,7207,
Walking,1.58E+12,-0.0794342,0.58251494,-0.039227296,14,7221,
Walking,1.58E+12,-0.03432312,0.51877135,-0.07649231,21,7242,
Walking,1.58E+12,0.03530426,0.6011475,0.09512482,39,7281,
Walking,1.58E+12,0.047071837,0.68352354,0.23045655,20,7301,
Walking,1.58E+12,0.078453064,0.73844147,0.29420012,19,7320,
Walking,1.58E+12,0.11081543,0.78257143,0.3030258,21,7341,
Walking,1.58E+12,0.12454376,0.8492554,0.29420012,39,7380,
Walking,1.58E+12,0.10689239,1.0071427,0.39030457,11,7391,
Walking,1.58E+12,0.15102234,1.2699616,0.40109253,34,7425,
Walking,1.58E+12,0.101989746,1.2238693,0.39128572,15,7440,
Walking,1.58E+12,0.2569336,1.2307342,0.56388247,39,7479,
Walking,1.58E+12,0.42658997,1.4788421,0.23045655,20,7499,
Walking,1.58E+12,0.5815338,1.6161362,-0.5815338,19,7518,
Walking,1.58E+12,0.30400544,1.321936,-0.4618927,21,7539,
Walking,1.58E+12,-0.07649231,0.8963272,0.015690614,38,7577,
Walking,1.58E+12,-0.114738464,0.9728195,-0.38246003,20,7597,
Walking,1.58E+12,-0.1529831,1.1189392,-0.51877135,22,7619,
Walking,1.58E+12,-0.071588136,1.0895188,-0.023536682,39,7658,
Walking,1.58E+12,0.081394956,0.94438016,0.2628189,13,7671,
Walking,1.58E+12,0.15788727,0.6854843,-0.05491791,27,7698,
Walking,1.58E+12,0.050013732,0.67665863,-0.09708557,28,7726,
Walking,1.58E+12,-0.022555541,0.7453049,-0.020593261,12,7738,
Walking,1.58E+12,0.03334198,0.83650666,0.0794342,40,7778,
Walking,1.58E+12,0.04020691,0.8482758,0.087278746,17,7795,
Walking,1.58E+12,0.044129945,0.83650666,0.06864624,44,7839,
Walking,1.58E+12,0.03432312,0.84042966,0.04903259,15,7854,
Walking,1.58E+12,0.005883789,0.9512451,0.06864624,22,7876,
Walking,1.58E+12,0.017651368,1.0130265,0.10100861,20,7896,
Walking,1.58E+12,-0.10100861,1.1738555,0.10885315,38,7934,
Walking,1.58E+12,-0.19907531,1.2385803,0.15200348,22,7956,
Walking,1.58E+12,-0.21084289,1.2974198,0.12552491,38,7994,
Walking,1.58E+12,-0.14808044,1.2905548,0.005883789,19,8013,
Walking,1.58E+12,-0.084336855,1.1640488,-0.15592499,20,8033,
Walking,1.58E+12,-0.08924103,1.039505,-0.19319153,20,8053,
Walking,1.58E+12,0.030400086,1.2601547,-0.10689239,38,8091,
Walking,1.58E+12,0.23732147,1.3788147,-0.20103607,20,8111,
Walking,1.58E+12,0.3363678,1.3425308,-0.2667404,40,8151,
Walking,1.58E+12,0.36578828,1.2621155,-0.21966858,11,8162,
Walking,1.58E+12,0.3422516,1.1885666,-0.11375733,10,8172,
Walking,1.58E+12,0.19613342,1.1218811,-0.048052978,21,8193,
Walking,1.58E+12,-0.03530426,0.8414108,0.094143674,39,8232,
Walking,1.58E+12,-0.062762454,0.7247116,0.10787354,18,8250,
Walking,1.58E+12,-0.06864624,0.6384125,0.043148804,20,8270,
Walking,1.58E+12,-0.030400086,0.6207611,0.004902649,20,8290,
Walking,1.58E+12,-0.00098114,0.6080124,-0.014709473,41,8331,
Walking,1.58E+12,0.028439332,0.59232175,0.001960754,12,8343,
Walking,1.58E+12,0.028439332,0.5933029,0.07355042,26,8369,
Walking,1.58E+12,0.013729858,0.6335098,0.19515228,7,8376,
Walking,1.58E+12,0.019613648,0.78257143,0.3971695,34,8410,
Walking,1.58E+12,0.031381227,0.8825989,0.38343963,18,8428,
Walking,1.58E+12,0.03530426,1.0375443,0.40893707,21,8449,
Walking,1.58E+12,0.16181031,1.2287735,0.47169954,20,8469,
Walking,1.58E+12,0.2569336,1.1866043,0.45110625,40,8509,
Walking,1.58E+12,0.29714203,1.1836624,0.4256088,19,8528,
Walking,1.58E+12,0.4560089,1.451384,0.34323272,21,8549,
Walking,1.58E+12,0.3510788,1.4209839,-0.42953187,38,8587,
Walking,1.58E+12,0.005883789,0.9483032,-0.18828735,19,8606,
Walking,1.58E+12,-0.21966858,0.8825989,-0.028439332,21,8627,
Walking,1.58E+12,-0.15200348,1.1738555,-0.5040619,38,8665,
Walking,1.58E+12,-0.017651368,1.1003067,-0.22555237,21,8686,
Walking,1.58E+12,0.10100861,0.97674257,0.13533172,50,8736,
Walking,1.58E+12,0.25203094,0.8659271,0.16867371,11,8747,
Walking,1.58E+12,0.24908905,0.67175597,-0.120622255,20,8767,
Walking,1.58E+12,0.121601865,0.69136965,-0.11375733,18,8785,
